user_pseudo_id,event_name,event_timestamp,prev_timestamp
1026932.0858862293,session_start,1606814706389678,
1026932.0858862293,page_view,1606814706389678,1606814706389678
1026932.0858862293,first_visit,1606814706389678,1606814706389678
1026932.0858862293,view_promotion,1606814711412398,1606814706389678
1026932.0858862293,scroll,1606814763973169,1606814711412398
1026932.0858862293,user_engagement,1606814786831938,1606814763973169
1026932.0858862293,page_view,1606814792331188,1606814786831938
1026932.0858862293,user_engagement,1606814841432144,1606814792331188
1026932.0858862293,view_search_results,1606814846879788,1606814841432144
1026932.0858862293,page_view,1606814846879788,1606814846879788
1026932.0858862293,scroll,1606814860857881,1606814846879788
1026932.0858862293,view_item,1606814860857881,1606814860857881
1026932.0858862293,view_item,1606814876650618,1606814860857881
1026932.0858862293,user_engagement,1606814891786144,1606814876650618
1026932.0858862293,scroll,1606814897228203,1606814891786144
1026932.0858862293,page_view,1606814897228203,1606814897228203
1026932.0858862293,view_item,1606814911649088,1606814897228203
1026932.0858862293,add_to_cart,1606814919562146,1606814911649088
1026932.0858862293,user_engagement,1606814926330165,1606814919562146
1026932.0858862293,page_view,1606814932548256,1606814926330165
1026932.0858862293,view_item,1606814932548256,1606814932548256
1026932.0858862293,user_engagement,1606814955609790,1606814932548256
1026932.0858862293,page_view,1606814961096189,1606814955609790
1026932.0858862293,scroll,1606814961096189,1606814961096189
1026932.0858862293,user_engagement,1606814975978957,1606814961096189
1026932.0858862293,view_item,1606814975978957,1606814975978957
1026932.0858862293,user_engagement,1606814981469398,1606814975978957
1026932.0858862293,page_view,1606814981469398,1606814981469398
1026932.0858862293,view_item,1606814981469398,1606814981469398
1026932.0858862293,page_view,1606814986886703,1606814981469398
1026932.0858862293,scroll,1606814986886703,1606814986886703
1026932.0858862293,user_engagement,1606815024502118,1606814986886703
1026932.0858862293,view_item,1606815024502118,1606815024502118
1026932.0858862293,page_view,1606815030719617,1606815024502118
1026932.0858862293,user_engagement,1606815030864276,1606815030719617
1026932.0858862293,scroll,1606815036245661,1606815030864276
1026932.0858862293,page_view,1606815036245661,1606815036245661
1026932.0858862293,user_engagement,1606815100077606,1606815036245661
1026932.0858862293,page_view,1606815105690148,1606815100077606
1026932.0858862293,scroll,1606815153763790,1606815105690148
1026932.0858862293,view_item,1606815172572311,1606815153763790
1026932.0858862293,user_engagement,1606815173266681,1606815172572311
1026932.0858862293,view_item,1606815179484738,1606815173266681
1026932.0858862293,page_view,1606815179484738,1606815179484738
1026932.0858862293,user_engagement,1606815190902238,1606815179484738
1026932.0858862293,page_view,1606815196392954,1606815190902238
1026932.0858862293,user_engagement,1606815208161459,1606815196392954
1026932.0858862293,page_view,1606815213676299,1606815208161459
1026932.0858862293,scroll,1606815231315339,1606815213676299
1026932.0858862293,user_engagement,1606815245890418,1606815231315339
1026932.0858862293,page_view,1606815251279372,1606815245890418
1026932.0858862293,view_item,1606815264609515,1606815251279372
1026932.0858862293,page_view,1606815268211451,1606815264609515
1026932.0858862293,user_engagement,1606815269346035,1606815268211451
1026932.0858862293,view_item,1606815310669233,1606815269346035
1026932.0858862293,user_engagement,1606815312023789,1606815310669233
1026932.0858862293,page_view,1606815312023789,1606815312023789
1026932.0858862293,scroll,1606815335534572,1606815312023789
1026932.0858862293,user_engagement,1606815339377938,1606815335534572
1026932.0858862293,scroll,1606815344793498,1606815339377938
1026932.0858862293,page_view,1606815344793498,1606815344793498
1026932.0858862293,user_engagement,1606815351496984,1606815344793498
1026932.0858862293,scroll,1606815356874507,1606815351496984
1026932.0858862293,page_view,1606815356874507,1606815356874507
1026932.0858862293,user_engagement,1606815357520148,1606815356874507
1026932.0858862293,page_view,1606815363349003,1606815357520148
1026932.0858862293,scroll,1606815363349003,1606815363349003
1026932.0858862293,user_engagement,1606815363349003,1606815363349003
1026932.0858862293,page_view,1606815368516282,1606815363349003
1026932.0858862293,user_engagement,1606815368516282,1606815368516282
1026932.0858862293,view_promotion,1606815368516282,1606815368516282
1026932.0858862293,page_view,1606815373864874,1606815368516282
1026932.0858862293,scroll,1606815380062169,1606815373864874
1026932.0858862293,user_engagement,1606815392054313,1606815380062169
1026932.0858862293,page_view,1606815392465601,1606815392054313
1026932.0858862293,add_shipping_info,1606815392465601,1606815392465601
1026932.0858862293,begin_checkout,1606815392465767,1606815392465601
1026932.0858862293,begin_checkout,1606815392553894,1606815392465767
1026932.0858862293,scroll,1606815448074140,1606815392553894
1026932.0858862293,user_engagement,1606815474730932,1606815448074140
1026932.0858862293,add_payment_info,1606815480025670,1606815474730932
1026932.0858862293,page_view,1606815480025670,1606815480025670
1026932.0858862293,user_engagement,1606815523042860,1606815480025670
1026932.0858862293,scroll,1606815523042860,1606815523042860
1026932.0858862293,page_view,1606815528873408,1606815523042860
1026932.0858862293,scroll,1606815536194634,1606815528873408
1026932.0858862293,user_engagement,1606815536194634,1606815536194634
1026932.0858862293,page_view,1606815536636123,1606815536194634
1026932.0858862293,purchase,1606815536636655,1606815536636123
1026932.0858862293,scroll,1606815546028117,1606815536636655
1026932.0858862293,user_engagement,1606815548386249,1606815546028117
1026932.0858862293,page_view,1606815613649794,1606815548386249
1026932.0858862293,purchase,1606815613649978,1606815613649794
1026932.0858862293,scroll,1606815623747215,1606815613649978
1026932.0858862293,user_engagement,1606815623800993,1606815623747215
1026932.0858862293,scroll,1606815629367049,1606815623800993
1026932.0858862293,page_view,1606815629367049,1606815629367049
1026932.0858862293,user_engagement,1606815632136831,1606815629367049
